prtg_id,uptd_id,isp_id,band_id
,1,1,1
,2,1,3
15561,3,1,1
17381,4,1,1
17405,5,1,1
14270,6,1,3
14289,7,1,3
17596,8,1,3
17605,9,1,3
17552,10,1,3
17620,11,1,3
17633,12,1,3
19415,13,1,3
14323,14,1,1
19481,15,1,1
,16,1,1
14339,17,1,1
14363,18,1,1
14378,19,1,1
14390,20,1,1
14405,21,1,1
14423,22,1,1
14443,23,1,1
14460,24,1,1
14477,25,1,1
14498,26,1,1
17367,27,1,1
14532,28,1,1
14547,29,1,3
14584,30,1,1
14575,31,1,1
14601,32,1,1
14626,33,1,1
14638,34,1,1
14657,35,1,1
14698,36,1,1
14712,37,1,1
14729,38,1,1
14753,39,1,1
19485,40,1,1
14764,41,1,3
14780,42,1,1
14814,43,1,1
14859,44,1,1
19487,45,1,3
14896,46,1,1
14935,47,1,1
14972,48,1,1
14990,49,1,1
15047,50,1,1
15051,51,1,1
17279,52,1,1
,53,1,1
15112,54,1,1
15129,55,1,1
15145,56,1,1
15168,57,1,1
15186,58,1,1
15204,59,1,1
15219,60,1,1
15258,61,1,1
15276,62,1,1
,63,1,1
,64,1,1
,65,1,1
,66,1,1
,67,1,1
,68,1,1
,69,1,1
,70,1,1
,71,1,1
,72,1,1
,73,1,1
,74,1,1
15457,75,1,1
15003,76,1,1
15477,77,1,1
15528,78,1,1
15535,79,1,1
,80,1,1
15555,81,1,1
15577,82,1,1
15591,83,1,1
,84,1,1
,85,1,1
15644,86,1,1
15664,87,1,1
17295,88,1,3
15676,89,1,1
15691,90,1,1
15713,91,1,1
15724,92,1,1
15764,93,1,1
15787,94,1,1
15803,95,1,1
15097,96,1,1
15821,97,1,1
15838,98,1,1
15872,99,1,1
15887,100,1,1
15908,101,1,1
19489,102,1,1
15925,103,1,1
15947,104,1,1
15956,105,1,1
15974,106,1,1
,107,1,1
16012,108,1,3
16044,109,1,1
16095,110,1,1
16109,111,1,1
15242,112,1,1
16125,113,1,1
16143,114,1,1
16162,115,1,1
19494,116,1,1
16211,117,1,3
16233,118,1,3
16254,119,1,3
16268,120,1,1
16284,121,1,1
16304,122,1,1
16318,123,1,1
16332,124,1,1
19497,125,1,1
,126,1,1
,127,1,1
17977,1,2,1
17997,2,2,3
19263,3,2,1
19260,4,2,1
,5,2,1
17999,6,2,3
17972,7,2,3
17987,8,2,3
17976,9,2,3
,10,2,3
,11,2,3
17974,12,2,3
18004,13,2,3
,17,2,1
18003,18,2,1
19259,20,2,1
,21,2,1
18000,22,2,1
17986,23,2,1
19252,24,2,1
,25,2,1
,26,2,1
19276,27,2,1
,29,2,3
,33,2,1
,37,2,1
19270,39,2,1
19271,40,2,1
18001,44,2,1
,47,2,1
,57,2,1
17988,58,2,1
,60,2,1
,62,2,1
17994,63,2,1
19273,64,2,1
,65,2,1
,66,2,1
17990,67,2,1
17993,68,2,1
,69,2,1
19277,76,2,1
,77,2,1
,78,2,1
19265,79,2,1
17984,80,2,1
,81,2,1
19267,82,2,1
,84,2,1
19269,85,2,1
,88,2,1
19262,92,2,1
17995,93,2,1
,94,2,1
,95,2,1
,97,2,1
,100,2,1
19274,101,2,1
,102,2,1
,106,2,1
,107,2,1
17980,108,2,3
19275,109,2,1
17978,110,2,1
19258,111,2,1
17983,114,2,1
19266,115,2,1
19264,116,2,1
19272,117,2,3
17981,118,2,1
17975,119,2,1
,120,2,1
,121,2,1
19257,123,2,1
19253,124,2,1
,126,2,1
,127,2,1
,14,3,1
,15,3,1
,16,3,1
,19,3,1
,28,3,1
,30,3,1
,31,3,1
,32,3,1
,34,3,1
,35,3,1
,36,3,1
,38,3,1
,41,3,3
,42,3,1
,43,3,1
,45,3,1
,46,3,3
,48,3,1
,49,3,1
,50,3,1
,51,3,1
,52,3,1
,53,3,1
,54,3,1
,55,3,1
,56,3,1
,59,3,1
,61,3,1
,70,3,1
,71,3,1
,72,3,1
,73,3,1
,74,3,1
,75,3,1
,83,3,1
,86,3,1
,87,3,1
,89,3,1
,90,3,1
,91,3,1
,96,3,1
,98,3,1
,99,3,1
,103,3,1
,104,3,1
,105,3,1
,112,3,1
,113,3,1
,122,3,1
